Model,MAE,RMSE,R2,MAPE(%),Rank
NHITS,25.638734237002478,46.44925970884112,0.7004306516931964,201.8292437441199,1
Ensemble_Mean,26.58608418247778,48.3079818791025,0.675975707842114,193.56195512994867,2
Ensemble_Weighted,26.738795181713517,48.60315313586151,0.6720039064330856,197.37215873496072,3
GRU,28.243358390159464,51.2584118835403,0.6351871946748158,214.00349290127588,4
LSTM,28.931825238750143,52.733504096754245,0.6138882281280447,244.5297624270686,5
