Model,MAE,RMSE,R2,MAPE(%),Rank
NHITS,25.61671355197885,46.52883887973095,0.6994032983187526,212.1910522124627,1
Ensemble_Mean,26.39627626056411,48.54652411008875,0.6727677778040424,177.05595742805116,2
Ensemble_Weighted,26.508064038545392,48.80410111429954,0.6692861237689578,176.99327230534493,3
LSTM,28.43375721404475,52.69195276597417,0.6144964614517963,197.3023806327449,4
GRU,28.49277249326335,52.75920487215073,0.6135117771305927,186.43413801436674,5
