일시,기온,강수량(mm),습도,적설(cm),전운량(10분위),일조(hr),일사량,태양광 설비용량(MW),태양광 발전량(MWh),연도
2024-01-01 00:00:00,8.5,0.0,57.0,0.0,10,0.0,0.0,443.0,,2024
2024-01-01 01:00:00,8.4,0.0,56.0,0.0,9,0.0,0.0,443.0,,2024
2024-01-01 02:00:00,8.2,0.0,60.0,0.0,9,0.0,0.0,443.0,,2024
2024-01-01 03:00:00,8.0,0.0,63.0,0.0,9,0.0,0.0,443.0,,2024
2024-01-01 04:00:00,7.8,0.0,60.0,0.0,9,0.0,0.0,443.0,,2024
2024-01-01 05:00:00,7.8,0.0,55.0,0.0,9,0.0,0.0,443.0,,2024
2024-01-01 06:00:00,7.7,0.0,58.0,0.0,9,0.0,0.0,443.0,,2024
2024-01-01 07:00:00,7.6,0.0,58.0,0.0,8,0.0,0.0,443.0,,2024
2024-01-01 08:00:00,6.9,0.0,60.0,0.0,4,0.0,0.1,443.0,,2024
2024-01-01 09:00:00,6.5,0.0,61.0,0.0,1,0.2,0.34,443.0,,2024
2024-01-01 10:00:00,8.6,0.0,54.0,0.0,8,0.3,0.68,443.0,,2024
2024-01-01 11:00:00,10.2,0.0,56.0,0.0,7,0.1,1.02,443.0,,2024
2024-01-01 12:00:00,10.8,0.0,58.0,0.0,7,0.6,1.41,443.0,,2024
2024-01-01 13:00:00,10.7,0.0,59.0,0.0,10,0.0,0.85,443.0,,2024
2024-01-01 14:00:00,9.8,0.0,66.0,0.0,10,0.0,0.42,443.0,,2024
2024-01-01 15:00:00,9.3,0.0,72.0,0.0,10,0.0,0.11,443.0,,2024
2024-01-01 16:00:00,8.9,0.0,74.0,0.0,10,0.0,0.0,443.0,,2024
2024-01-01 17:00:00,8.7,0.0,79.0,0.0,10,0.0,0.0,443.0,,2024
2024-01-01 18:00:00,8.5,0.3,80.0,0.0,10,0.0,0.0,443.0,,2024
2024-01-01 19:00:00,8.4,0.0,81.0,0.0,10,0.0,0.0,443.0,,2024
2024-01-01 20:00:00,8.5,0.0,80.0,0.0,9,0.0,0.0,443.0,,2024
2024-01-01 21:00:00,8.6,0.1,80.0,0.0,10,0.0,0.0,443.0,,2024
2024-01-01 22:00:00,8.7,0.0,77.0,0.0,9,0.0,0.0,443.0,,2024
2024-01-01 23:00:00,8.7,0.0,78.0,0.0,10,0.0,0.0,443.0,,2024
2024-01-02 00:00:00,8.8,0.0,76.0,0.0,10,0.0,0.0,443.0,0.0,2024
2024-01-02 01:00:00,9.0,0.0,74.0,0.0,9,0.0,0.0,443.0,0.0,2024
2024-01-02 02:00:00,8.9,0.0,74.0,0.0,9,0.0,0.0,443.0,0.0,2024
2024-01-02 03:00:00,8.7,0.0,74.0,0.0,9,0.0,0.0,443.0,0.0,2024
2024-01-02 04:00:00,8.4,0.0,74.0,0.0,9,0.0,0.0,443.0,0.0,2024
2024-01-02 05:00:00,8.2,0.0,75.0,0.0,8,0.0,0.0,443.0,0.0,2024
2024-01-02 06:00:00,8.4,0.0,74.0,0.0,8,0.0,0.0,443.0,0.0,2024
2024-01-02 07:00:00,8.0,0.0,74.0,0.0,6,0.0,0.0,443.0,0.66,2024
2024-01-02 08:00:00,7.1,0.0,76.0,0.0,1,0.0,0.0,443.0,30.52,2024
2024-01-02 09:00:00,7.3,0.0,76.0,0.0,1,0.2,0.15,443.0,116.46,2024
2024-01-02 10:00:00,10.4,0.0,64.0,0.0,2,0.9,0.73,443.0,174.72,2024
2024-01-02 11:00:00,12.5,0.0,55.0,0.0,1,1.0,1.26,443.0,241.08,2024
2024-01-02 12:00:00,13.6,0.0,53.0,0.0,4,1.0,1.74,443.0,230.44,2024
2024-01-02 13:00:00,12.7,0.0,52.0,0.0,3,0.8,1.53,443.0,132.87,2024
2024-01-02 14:00:00,11.6,0.0,59.0,0.0,6,0.1,0.71,443.0,76.79,2024
2024-01-02 15:00:00,11.3,0.0,61.0,0.0,9,0.0,0.48,443.0,46.7,2024
2024-01-02 16:00:00,11.2,0.0,63.0,0.0,9,0.0,0.25,443.0,21.43,2024
2024-01-02 17:00:00,10.8,0.0,66.0,0.0,10,0.0,0.02,443.0,4.65,2024
2024-01-02 18:00:00,10.5,0.0,67.0,0.0,10,0.0,0.0,443.0,4.38,2024
2024-01-02 19:00:00,10.4,0.0,67.0,0.0,9,0.0,0.0,443.0,5.78,2024
2024-01-02 20:00:00,10.1,0.0,70.0,0.0,10,0.0,0.0,443.0,4.04,2024
2024-01-02 21:00:00,10.0,0.0,70.0,0.0,10,0.0,0.0,443.0,1.22,2024
2024-01-02 22:00:00,9.9,0.0,71.0,0.0,9,0.0,0.0,443.0,0.01,2024
2024-01-02 23:00:00,9.9,0.0,70.0,0.0,10,0.0,0.0,443.0,0.0,2024
2024-01-03 00:00:00,9.6,0.0,72.0,0.0,9,0.0,0.0,443.0,,2024
2024-01-03 01:00:00,9.6,0.0,71.0,0.0,10,0.0,0.0,443.0,,2024
2024-01-03 02:00:00,9.8,0.0,68.0,0.0,10,0.0,0.0,443.0,,2024
2024-01-03 03:00:00,9.8,0.0,65.0,0.0,9,0.0,0.0,443.0,,2024
2024-01-03 04:00:00,9.6,0.0,63.0,0.0,10,0.0,0.0,443.0,,2024
2024-01-03 05:00:00,9.6,0.0,64.0,0.0,10,0.0,0.0,443.0,,2024
2024-01-03 06:00:00,8.3,1.1,81.0,0.0,10,0.0,0.0,443.0,,2024
2024-01-03 07:00:00,7.9,0.0,80.0,0.0,10,0.0,0.0,443.0,,2024
2024-01-03 08:00:00,7.4,0.0,79.0,0.0,10,0.0,0.0,443.0,,2024
2024-01-03 09:00:00,7.2,2.8,74.0,0.0,10,0.0,0.0,443.0,,2024
2024-01-03 10:00:00,7.7,0.0,68.0,0.0,10,0.0,0.05,443.0,,2024
2024-01-03 11:00:00,8.2,0.0,64.0,0.0,10,0.0,0.36,443.0,,2024
2024-01-03 12:00:00,8.6,0.0,58.0,0.0,10,0.0,0.41,443.0,,2024
2024-01-03 13:00:00,8.9,0.0,55.0,0.0,8,0.0,0.39,443.0,,2024
2024-01-03 14:00:00,9.1,0.0,56.0,0.0,7,0.0,0.53,443.0,,2024
2024-01-03 15:00:00,8.9,0.0,52.0,0.0,7,0.1,0.6,443.0,,2024
2024-01-03 16:00:00,8.8,0.0,51.0,0.0,6,0.0,0.3,443.0,,2024
2024-01-03 17:00:00,8.8,0.0,54.0,0.0,6,0.0,0.1,443.0,,2024
2024-01-03 18:00:00,8.7,0.0,48.0,0.0,6,0.0,0.01,443.0,,2024
2024-01-03 19:00:00,8.7,0.0,46.0,0.0,6,0.0,0.0,443.0,,2024
2024-01-03 20:00:00,8.6,0.0,42.0,0.0,6,0.0,0.0,443.0,,2024
2024-01-03 21:00:00,8.4,0.0,46.0,0.0,5,0.0,0.0,443.0,,2024
2024-01-03 22:00:00,7.7,0.0,43.0,0.0,5,0.0,0.0,443.0,,2024
2024-01-03 23:00:00,7.7,0.0,52.0,0.0,7,0.0,0.0,443.0,,2024
2024-01-04 00:00:00,7.6,0.0,46.0,0.0,3,0.0,0.0,443.0,,2024
2024-01-04 01:00:00,7.4,0.0,49.0,0.0,6,0.0,0.0,443.0,,2024
2024-01-04 02:00:00,7.4,0.0,48.0,0.0,6,0.0,0.0,443.0,,2024
2024-01-04 03:00:00,7.3,0.0,53.0,0.0,6,0.0,0.0,443.0,,2024
2024-01-04 04:00:00,7.5,0.0,63.0,0.0,6,0.0,0.0,443.0,,2024
2024-01-04 05:00:00,7.2,0.0,57.0,0.0,4,0.0,0.0,443.0,,2024
2024-01-04 06:00:00,6.6,0.0,61.0,0.0,6,0.0,0.0,443.0,,2024
2024-01-04 07:00:00,6.3,0.0,64.0,0.0,6,0.0,0.0,443.0,,2024
2024-01-04 08:00:00,5.8,0.0,61.0,0.0,5,0.0,0.0,443.0,,2024
2024-01-04 09:00:00,6.4,0.0,60.0,0.0,5,0.0,0.18,443.0,,2024
2024-01-04 10:00:00,9.2,0.0,49.0,0.0,6,0.7,0.78,443.0,,2024
2024-01-04 11:00:00,9.5,0.0,47.0,0.0,6,0.5,1.14,443.0,,2024
2024-01-04 12:00:00,10.5,0.0,42.0,0.0,0,1.0,1.88,443.0,,2024
2024-01-04 13:00:00,11.0,0.0,45.0,0.0,2,1.0,2.07,443.0,,2024
2024-01-04 14:00:00,11.3,0.0,45.0,0.0,0,1.0,1.95,443.0,,2024
2024-01-04 15:00:00,11.5,0.0,46.0,0.0,0,1.0,1.63,443.0,,2024
2024-01-04 16:00:00,11.4,0.0,47.0,0.0,2,1.0,1.15,443.0,,2024
2024-01-04 17:00:00,10.2,0.0,51.0,0.0,0,1.0,0.53,443.0,,2024
2024-01-04 18:00:00,9.3,0.0,54.0,0.0,2,0.2,0.07,443.0,,2024
2024-01-04 19:00:00,8.1,0.0,59.0,0.0,0,0.0,0.0,443.0,,2024
2024-01-04 20:00:00,7.4,0.0,62.0,0.0,1,0.0,0.0,443.0,,2024
2024-01-04 21:00:00,7.5,0.0,63.0,0.0,0,0.0,0.0,443.0,,2024
2024-01-04 22:00:00,7.8,0.0,63.0,0.0,1,0.0,0.0,443.0,,2024
2024-01-04 23:00:00,8.3,0.0,63.0,0.0,1,0.0,0.0,443.0,,2024
2024-01-05 00:00:00,6.4,0.0,59.0,0.0,0,0.0,0.0,443.0,,2024
2024-01-05 01:00:00,5.5,0.0,67.0,0.0,0,0.0,0.0,443.0,,2024
2024-01-05 02:00:00,4.8,0.0,56.0,0.0,0,0.0,0.0,443.0,,2024
