일시,기온,강수량(mm),습도,적설(cm),전운량(10분위),일조(hr),일사량,태양광 설비용량(MW),태양광 발전량(MWh),연도
2019-01-01 00:00:00,5.1,0.0,66.0,0.0,9,0.0,0.0,176.769,0.0,2019
2019-01-01 01:00:00,5.2,0.0,63.0,0.0,9,0.0,0.0,176.769,0.0,2019
2019-01-01 02:00:00,5.7,0.0,60.0,0.0,9,0.0,0.0,176.769,0.0,2019
2019-01-01 03:00:00,5.8,0.0,59.0,0.0,9,0.0,0.0,176.769,0.0,2019
2019-01-01 04:00:00,6.1,0.0,64.0,0.0,9,0.0,0.0,176.769,0.0,2019
2019-01-01 05:00:00,5.8,0.0,60.0,0.0,9,0.0,0.0,176.769,0.0,2019
2019-01-01 06:00:00,5.8,0.0,58.0,0.0,9,0.0,0.0,176.769,0.0,2019
2019-01-01 07:00:00,5.6,0.0,63.0,0.0,9,0.0,0.0,176.769,0.01,2019
2019-01-01 08:00:00,5.4,0.0,60.0,0.0,9,0.0,0.0,176.769,1.8,2019
2019-01-01 09:00:00,5.7,0.0,61.0,0.0,9,0.0,0.0,176.769,4.67,2019
2019-01-01 10:00:00,5.7,0.0,60.0,0.0,9,0.0,0.05,176.769,9.51,2019
2019-01-01 11:00:00,5.9,0.0,62.0,0.0,10,0.0,0.13,176.769,22.34,2019
2019-01-01 12:00:00,6.3,0.0,63.0,0.0,9,0.0,0.4,176.769,32.88,2019
2019-01-01 13:00:00,6.6,0.0,59.0,0.0,9,0.1,0.66,176.769,31.3,2019
2019-01-01 14:00:00,6.4,0.0,60.0,0.0,9,0.0,0.46,176.769,34.09,2019
2019-01-01 15:00:00,6.1,0.0,64.0,0.0,9,0.0,0.34,176.769,21.62,2019
2019-01-01 16:00:00,6.1,0.0,49.0,0.0,9,0.0,0.16,176.769,6.56,2019
2019-01-01 17:00:00,5.6,0.0,59.0,0.0,9,0.0,0.07,176.769,0.78,2019
2019-01-01 18:00:00,5.3,0.0,66.0,0.0,9,0.0,0.0,176.769,2.17,2019
