일시,기온,강수량(mm),습도,적설(cm),전운량(10분위),일조(hr),일사량,태양광 설비용량(MW),태양광 발전량(MWh),연도
2022-01-01 00:00:00,3.6,0.0,67.0,0.0,6,0.0,0.0,301.444,0.0,2022
2022-01-01 01:00:00,3.3,0.0,66.0,0.0,6,0.0,0.0,301.444,0.82,2022
2022-01-01 02:00:00,3.2,0.0,59.0,0.0,8,0.0,0.0,301.444,0.54,2022
2022-01-01 03:00:00,3.0,0.0,62.0,0.0,2,0.0,0.0,301.444,0.06,2022
2022-01-01 04:00:00,2.5,0.0,61.0,0.0,1,0.0,0.0,301.444,0.0,2022
2022-01-01 05:00:00,2.2,0.0,67.0,0.0,1,0.0,0.0,301.444,0.0,2022
2022-01-01 06:00:00,2.2,0.0,68.0,0.0,2,0.0,0.0,301.444,0.0,2022
2022-01-01 07:00:00,1.5,0.0,71.0,0.0,3,0.0,0.0,301.444,0.64,2022
2022-01-01 08:00:00,0.9,0.0,74.0,0.0,3,0.0,0.01,301.444,26.41,2022
2022-01-01 09:00:00,2.0,0.0,71.0,0.0,1,0.3,0.21,301.444,97.3,2022
2022-01-01 10:00:00,6.3,0.0,52.0,0.0,0,1.0,0.91,301.444,154.47,2022
2022-01-01 11:00:00,7.7,0.0,42.0,0.0,1,1.0,1.5,301.444,187.12,2022
2022-01-01 12:00:00,8.5,0.0,41.0,0.0,5,1.0,1.93,301.444,192.01,2022
2022-01-01 13:00:00,8.2,0.0,40.0,0.0,5,1.0,2.0,301.444,159.35,2022
2022-01-01 14:00:00,8.7,0.0,42.0,0.0,3,1.0,1.83,301.444,127.66,2022
2022-01-01 15:00:00,8.2,0.0,40.0,0.0,6,0.9,1.41,301.444,57.4,2022
2022-01-01 16:00:00,7.5,0.0,42.0,0.0,7,0.4,0.56,301.444,30.99,2022
2022-01-01 17:00:00,7.1,0.0,46.0,0.0,7,0.8,0.4,301.444,2.88,2022
2022-01-01 18:00:00,6.0,0.0,48.0,0.0,8,0.0,0.0,301.444,3.7,2022
2022-01-01 19:00:00,5.6,0.0,54.0,0.0,6,0.0,0.0,301.444,7.34,2022
2022-01-01 20:00:00,5.3,0.0,55.0,0.0,5,0.0,0.0,301.444,7.05,2022
2022-01-01 21:00:00,4.8,0.0,56.0,0.0,6,0.0,0.0,301.444,5.86,2022
2022-01-01 22:00:00,4.3,0.0,57.0,0.0,4,0.0,0.0,301.444,1.39,2022
2022-01-01 23:00:00,4.0,0.0,58.0,0.0,4,0.0,0.0,301.444,0.13,2022
2022-01-02 00:00:00,4.4,0.0,65.0,0.0,7,0.0,0.0,301.444,0.09,2022
2022-01-02 01:00:00,4.3,0.0,70.0,0.0,6,0.0,0.0,301.444,0.91,2022
2022-01-02 02:00:00,5.2,0.0,71.0,0.0,6,0.0,0.0,301.444,0.97,2022
2022-01-02 03:00:00,5.7,0.0,71.0,0.0,7,0.0,0.0,301.444,0.76,2022
2022-01-02 04:00:00,5.5,0.0,66.0,0.0,2,0.0,0.0,301.444,0.29,2022
2022-01-02 05:00:00,5.4,0.0,67.0,0.0,3,0.0,0.0,301.444,0.13,2022
2022-01-02 06:00:00,4.8,0.0,70.0,0.0,0,0.0,0.0,301.444,0.02,2022
2022-01-02 07:00:00,4.3,0.0,72.0,0.0,0,0.0,0.0,301.444,0.61,2022
2022-01-02 08:00:00,4.5,0.0,71.0,0.0,2,0.0,0.01,301.444,25.38,2022
2022-01-02 09:00:00,6.0,0.0,66.0,0.0,5,0.2,0.2,301.444,87.88,2022
2022-01-02 10:00:00,10.0,0.0,52.0,0.0,8,0.7,0.75,301.444,107.75,2022
2022-01-02 11:00:00,10.2,0.0,55.0,0.0,9,0.2,0.7,301.444,99.51,2022
2022-01-02 12:00:00,10.4,0.0,63.0,0.0,9,0.0,0.46,301.444,102.29,2022
2022-01-02 13:00:00,10.6,0.0,63.0,0.0,9,0.0,0.5,301.444,105.05,2022
2022-01-02 14:00:00,10.6,0.0,61.0,0.0,8,0.0,0.67,301.444,98.88,2022
2022-01-02 15:00:00,11.1,0.0,64.0,0.0,8,0.2,0.71,301.444,71.93,2022
2022-01-02 16:00:00,10.4,0.0,63.0,0.0,8,0.0,0.26,301.444,25.84,2022
2022-01-02 17:00:00,9.6,0.0,68.0,0.0,8,0.0,0.14,301.444,2.85,2022
2022-01-02 18:00:00,8.7,0.0,67.0,0.0,7,0.0,0.0,301.444,3.49,2022
2022-01-02 19:00:00,8.1,0.0,62.0,0.0,7,0.0,0.0,301.444,6.6,2022
2022-01-02 20:00:00,7.4,0.0,63.0,0.0,5,0.0,0.0,301.444,3.92,2022
2022-01-02 21:00:00,6.4,0.0,64.0,0.0,3,0.0,0.0,301.444,0.75,2022
2022-01-02 22:00:00,6.4,0.0,63.0,0.0,0,0.0,0.0,301.444,0.11,2022
