일시,기온,강수량(mm),습도,적설(cm),전운량(10분위),일조(hr),일사량,태양광 설비용량(MW),태양광 발전량(MWh),연도
2020-01-01 00:00:00,2.4,0.0,63.0,0.0,9,0.0,0.0,263.225,0.0,2020
2020-01-01 01:00:00,2.6,0.0,63.0,0.0,9,0.0,0.0,263.225,0.0,2020
2020-01-01 02:00:00,2.7,0.0,68.0,0.0,9,0.0,0.0,263.225,0.0,2020
2020-01-01 03:00:00,3.2,0.0,69.0,0.0,9,0.0,0.0,263.225,0.0,2020
2020-01-01 04:00:00,3.0,0.0,65.0,0.0,9,0.0,0.0,263.225,0.0,2020
2020-01-01 05:00:00,3.3,0.0,64.0,0.0,9,0.0,0.0,263.225,0.0,2020
2020-01-01 06:00:00,3.2,0.0,67.0,0.0,9,0.0,0.0,263.225,0.0,2020
2020-01-01 07:00:00,3.2,0.0,64.0,0.0,9,0.0,0.0,263.225,0.18,2020
2020-01-01 08:00:00,3.3,0.0,63.0,0.0,9,0.0,0.0,263.225,12.73,2020
2020-01-01 09:00:00,3.9,0.0,63.0,0.0,9,0.0,0.08,263.225,51.49,2020
2020-01-01 10:00:00,4.1,0.0,62.0,0.0,9,0.0,0.2,263.225,96.16,2020
2020-01-01 11:00:00,4.6,0.0,61.0,0.0,9,0.0,0.43,263.225,131.46,2020
2020-01-01 12:00:00,5.1,0.0,59.0,0.0,9,0.0,0.65,263.225,146.45,2020
2020-01-01 13:00:00,5.4,0.0,59.0,0.0,9,0.0,0.72,263.225,135.97,2020
2020-01-01 14:00:00,6.1,0.0,58.0,0.0,9,0.1,0.95,263.225,93.28,2020
2020-01-01 15:00:00,5.9,0.0,61.0,0.0,9,0.0,0.5,263.225,53.84,2020
2020-01-01 16:00:00,6.2,0.0,61.0,0.0,9,0.0,0.2,263.225,21.63,2020
2020-01-01 17:00:00,6.4,0.0,63.0,0.0,9,0.0,0.13,263.225,5.69,2020
2020-01-01 18:00:00,6.5,0.0,61.0,0.0,9,0.0,0.0,263.225,4.61,2020
2020-01-01 19:00:00,6.6,0.0,62.0,0.0,9,0.0,0.0,263.225,4.27,2020
2020-01-01 20:00:00,6.7,0.0,62.0,0.0,9,0.0,0.0,263.225,1.33,2020
2020-01-01 21:00:00,6.8,0.0,61.0,0.0,9,0.0,0.0,263.225,0.53,2020
2020-01-01 22:00:00,6.8,0.0,60.0,0.0,9,0.0,0.0,263.225,0.0,2020
2020-01-01 23:00:00,6.7,0.0,62.0,0.0,9,0.0,0.0,263.225,0.0,2020
2020-01-02 00:00:00,6.8,0.0,62.0,0.0,9,0.0,0.0,263.225,0.0,2020
2020-01-02 01:00:00,6.7,0.0,63.0,0.0,9,0.0,0.0,263.225,0.0,2020
2020-01-02 02:00:00,6.6,0.0,65.0,0.0,7,0.0,0.0,263.225,0.0,2020
2020-01-02 03:00:00,6.1,0.0,67.0,0.0,8,0.0,0.0,263.225,0.0,2020
2020-01-02 04:00:00,5.7,0.0,68.0,0.0,9,0.0,0.0,263.225,0.0,2020
2020-01-02 05:00:00,6.3,0.0,68.0,0.0,9,0.0,0.0,263.225,0.0,2020
2020-01-02 06:00:00,6.8,0.0,66.0,0.0,9,0.0,0.0,263.225,0.0,2020
2020-01-02 07:00:00,6.9,0.0,66.0,0.0,8,0.0,0.0,263.225,0.52,2020
2020-01-02 08:00:00,7.0,0.0,67.0,0.0,9,0.0,0.0,263.225,16.19,2020
2020-01-02 09:00:00,7.9,0.0,66.0,0.0,9,0.0,0.09,263.225,37.97,2020
2020-01-02 10:00:00,8.4,0.0,65.0,0.0,9,0.0,0.19,263.225,53.23,2020
2020-01-02 11:00:00,8.8,0.0,63.0,0.0,9,0.0,0.34,263.225,33.57,2020
2020-01-02 12:00:00,8.9,0.0,66.0,0.0,10,0.0,0.31,263.225,33.12,2020
2020-01-02 13:00:00,9.1,0.0,65.0,0.0,10,0.0,0.32,263.225,36.4,2020
2020-01-02 14:00:00,9.0,0.0,69.0,0.0,10,0.0,0.29,263.225,39.0,2020
2020-01-02 15:00:00,9.1,0.0,69.0,0.0,10,0.0,0.27,263.225,25.86,2020
2020-01-02 16:00:00,9.1,0.0,69.0,0.0,10,0.0,0.22,263.225,8.31,2020
2020-01-02 17:00:00,9.0,0.0,69.0,0.0,10,0.0,0.12,263.225,4.09,2020
2020-01-02 18:00:00,8.9,0.0,66.0,0.0,7,0.0,0.02,263.225,0.73,2020
2020-01-02 19:00:00,8.6,0.0,66.0,0.0,3,0.0,0.0,263.225,1.07,2020
2020-01-02 20:00:00,8.5,0.0,66.0,0.0,6,0.0,0.0,263.225,0.39,2020
2020-01-02 21:00:00,8.7,0.0,66.0,0.0,7,0.0,0.0,263.225,0.02,2020
2020-01-02 22:00:00,8.7,0.0,65.0,0.0,7,0.0,0.0,263.225,0.0,2020
2020-01-02 23:00:00,8.6,0.0,69.0,0.0,5,0.0,0.0,263.225,0.0,2020
2020-01-03 00:00:00,8.1,0.0,68.0,0.0,6,0.0,0.0,263.225,0.0,2020
