일시,기온,강수량(mm),습도,적설(cm),전운량(10분위),일조(hr),일사량,태양광 설비용량(MW),태양광 발전량(MWh),연도
2021-01-01 00:00:00,4.5,0.0,53.0,0.0,9,0.0,0.0,289.459,0.0,2021
2021-01-01 01:00:00,4.3,0.0,58.0,0.0,9,0.0,0.0,289.459,0.0,2021
2021-01-01 02:00:00,4.2,0.0,54.0,0.0,10,0.0,0.0,289.459,0.0,2021
2021-01-01 03:00:00,4.3,0.0,52.0,0.0,10,0.0,0.0,289.459,0.0,2021
2021-01-01 04:00:00,4.2,0.0,47.0,0.0,10,0.0,0.0,289.459,0.01,2021
2021-01-01 05:00:00,4.4,0.0,50.0,0.0,9,0.0,0.0,289.459,0.0,2021
2021-01-01 06:00:00,4.3,0.0,49.0,0.0,9,0.0,0.0,289.459,0.0,2021
2021-01-01 07:00:00,4.6,0.0,53.0,0.0,9,0.0,0.0,289.459,0.07,2021
2021-01-01 08:00:00,4.6,0.0,54.0,0.0,9,0.0,0.0,289.459,4.78,2021
2021-01-01 09:00:00,4.8,0.0,54.0,0.0,9,0.0,0.14,289.459,16.81,2021
2021-01-01 10:00:00,4.9,0.0,48.0,0.0,9,0.0,0.27,289.459,44.53,2021
2021-01-01 11:00:00,5.5,0.0,49.0,0.0,9,0.1,0.47,289.459,52.61,2021
2021-01-01 12:00:00,5.4,0.0,53.0,0.0,10,0.0,0.26,289.459,39.06,2021
2021-01-01 13:00:00,5.8,0.0,56.0,0.0,9,0.0,0.34,289.459,27.75,2021
2021-01-01 14:00:00,5.9,0.0,54.0,0.0,9,0.0,0.41,289.459,22.62,2021
2021-01-01 15:00:00,6.1,0.0,54.0,0.0,9,0.0,0.2,289.459,15.22,2021
2021-01-01 16:00:00,6.1,0.0,54.0,0.0,9,0.0,0.33,289.459,8.02,2021
2021-01-01 17:00:00,6.0,0.0,55.0,0.0,9,0.0,0.12,289.459,1.89,2021
2021-01-01 18:00:00,6.0,0.0,56.0,0.0,9,0.0,0.01,289.459,0.1,2021
2021-01-01 19:00:00,6.1,0.0,57.0,0.0,8,0.0,0.0,289.459,0.81,2021
2021-01-01 20:00:00,6.3,0.0,55.0,0.0,8,0.0,0.0,289.459,0.11,2021
2021-01-01 21:00:00,5.5,0.0,61.0,0.0,9,0.0,0.0,289.459,0.01,2021
2021-01-01 22:00:00,6.5,0.0,56.0,0.0,8,0.0,0.0,289.459,0.01,2021
2021-01-01 23:00:00,6.9,0.0,59.0,0.0,9,0.0,0.0,289.459,0.01,2021
2021-01-02 00:00:00,7.2,0.0,56.0,0.0,9,0.0,0.0,289.459,0.0,2021
2021-01-02 01:00:00,7.1,0.0,46.0,0.0,9,0.0,0.0,289.459,0.0,2021
2021-01-02 02:00:00,6.9,0.0,51.0,0.0,9,0.0,0.0,289.459,0.0,2021
2021-01-02 03:00:00,6.8,0.0,51.0,0.0,9,0.0,0.0,289.459,0.0,2021
2021-01-02 04:00:00,6.8,0.0,52.0,0.0,9,0.0,0.0,289.459,0.0,2021
2021-01-02 05:00:00,6.7,0.0,54.0,0.0,9,0.0,0.0,289.459,0.0,2021
2021-01-02 06:00:00,6.8,0.0,51.0,0.0,9,0.0,0.0,289.459,0.0,2021
2021-01-02 07:00:00,6.8,0.0,49.0,0.0,9,0.0,0.0,289.459,0.13,2021
2021-01-02 08:00:00,7.0,0.0,43.0,0.0,9,0.0,0.0,289.459,8.77,2021
2021-01-02 09:00:00,7.2,0.0,50.0,0.0,9,0.0,0.07,289.459,31.07,2021
2021-01-02 10:00:00,7.3,0.0,51.0,0.0,9,0.0,0.23,289.459,40.68,2021
2021-01-02 11:00:00,7.6,0.0,61.0,0.0,8,0.0,0.57,289.459,51.44,2021
2021-01-02 12:00:00,7.1,0.0,70.0,0.0,8,0.0,0.52,289.459,77.47,2021
2021-01-02 13:00:00,7.2,0.0,68.0,0.0,8,0.1,0.69,289.459,98.86,2021
2021-01-02 14:00:00,7.6,0.0,63.0,0.0,8,0.3,1.2,289.459,109.39,2021
2021-01-02 15:00:00,7.7,0.0,56.0,0.0,7,0.4,1.06,289.459,76.44,2021
2021-01-02 16:00:00,6.6,0.0,56.0,0.0,8,0.4,0.75,289.459,30.46,2021
2021-01-02 17:00:00,5.8,0.0,61.0,0.0,7,0.2,0.33,289.459,6.49,2021
2021-01-02 18:00:00,5.0,0.0,61.0,0.0,7,0.0,0.03,289.459,4.43,2021
2021-01-02 19:00:00,4.3,0.0,51.0,0.0,2,0.0,0.0,289.459,3.87,2021
2021-01-02 20:00:00,3.9,0.0,57.0,0.0,1,0.0,0.0,289.459,1.45,2021
2021-01-02 21:00:00,3.7,0.0,57.0,0.0,2,0.0,0.0,289.459,0.84,2021
2021-01-02 22:00:00,3.6,0.0,58.0,0.0,2,0.0,0.0,289.459,0.13,2021
2021-01-02 23:00:00,3.1,0.0,60.0,0.0,2,0.0,0.0,289.459,0.01,2021
2021-01-03 00:00:00,3.0,0.0,55.0,0.0,3,0.0,0.0,289.459,0.04,2021
2021-01-03 01:00:00,3.0,0.0,62.0,0.0,7,0.0,0.0,289.459,0.01,2021
2021-01-03 02:00:00,3.2,0.0,61.0,0.0,6,0.0,0.0,289.459,0.0,2021
2021-01-03 03:00:00,3.3,0.0,62.0,0.0,7,0.0,0.0,289.459,0.0,2021
2021-01-03 04:00:00,3.4,0.0,62.0,0.0,8,0.0,0.0,289.459,0.03,2021
2021-01-03 05:00:00,3.5,0.0,62.0,0.0,8,0.0,0.0,289.459,0.02,2021
2021-01-03 06:00:00,3.4,0.0,60.0,0.0,8,0.0,0.0,289.459,0.0,2021
2021-01-03 07:00:00,3.3,0.0,62.0,0.0,8,0.0,0.0,289.459,0.4,2021
2021-01-03 08:00:00,3.2,0.0,61.0,0.0,7,0.0,0.01,289.459,17.31,2021
2021-01-03 09:00:00,3.6,0.0,59.0,0.0,6,0.1,0.21,289.459,78.39,2021
2021-01-03 10:00:00,4.1,0.0,59.0,0.0,5,0.4,0.6,289.459,108.45,2021
2021-01-03 11:00:00,4.8,0.0,56.0,0.0,6,0.5,1.02,289.459,144.64,2021
2021-01-03 12:00:00,5.5,0.0,54.0,0.0,6,0.6,1.32,289.459,151.67,2021
2021-01-03 13:00:00,5.3,0.0,53.0,0.0,6,0.7,1.65,289.459,150.3,2021
2021-01-03 14:00:00,5.3,0.0,54.0,0.0,7,0.5,1.24,289.459,90.94,2021
2021-01-03 15:00:00,5.2,0.0,56.0,0.0,8,0.3,0.97,289.459,43.06,2021
2021-01-03 16:00:00,5.1,0.0,56.0,0.0,9,0.0,0.54,289.459,18.88,2021
2021-01-03 17:00:00,4.8,0.0,58.0,0.0,8,0.0,0.25,289.459,7.51,2021
2021-01-03 18:00:00,4.8,0.0,57.0,0.0,9,0.0,0.04,289.459,5.32,2021
2021-01-03 19:00:00,5.0,0.0,55.0,0.0,6,0.0,0.0,289.459,6.05,2021
2021-01-03 20:00:00,4.5,0.0,60.0,0.0,7,0.0,0.0,289.459,3.24,2021
2021-01-03 21:00:00,4.6,0.0,60.0,0.0,9,0.0,0.0,289.459,1.28,2021
2021-01-03 22:00:00,5.1,0.0,54.0,0.0,9,0.0,0.0,289.459,0.64,2021
2021-01-03 23:00:00,5.0,0.0,53.0,0.0,10,0.0,0.0,289.459,0.23,2021
2021-01-04 00:00:00,5.3,0.0,48.0,0.0,9,0.0,0.0,289.459,0.22,2021
2021-01-04 01:00:00,4.8,0.0,52.0,0.0,8,0.0,0.0,289.459,0.14,2021
2021-01-04 02:00:00,4.3,0.0,54.0,0.0,7,0.0,0.0,289.459,0.0,2021
2021-01-04 03:00:00,3.5,0.0,58.0,0.0,7,0.0,0.0,289.459,0.0,2021
2021-01-04 04:00:00,2.9,0.0,61.0,0.0,3,0.0,0.0,289.459,0.03,2021
2021-01-04 05:00:00,2.6,0.0,64.0,0.0,2,0.0,0.0,289.459,0.05,2021
2021-01-04 06:00:00,2.5,0.0,65.0,0.0,2,0.0,0.0,289.459,0.05,2021
2021-01-04 07:00:00,2.4,0.0,68.0,0.0,2,0.0,0.0,289.459,0.61,2021
2021-01-04 08:00:00,2.4,0.0,70.0,0.0,0,0.0,0.01,289.459,22.17,2021
2021-01-04 09:00:00,4.0,0.0,64.0,0.0,0,0.2,0.24,289.459,85.38,2021
2021-01-04 10:00:00,7.6,0.0,54.0,0.0,0,1.0,0.91,289.459,123.1,2021
2021-01-04 11:00:00,8.8,0.0,51.0,0.0,1,1.0,1.46,289.459,126.72,2021
2021-01-04 12:00:00,7.9,0.0,52.0,0.0,6,0.2,1.07,289.459,127.67,2021
2021-01-04 13:00:00,8.2,0.0,49.0,0.0,4,0.8,1.68,289.459,127.7,2021
2021-01-04 14:00:00,8.0,0.0,51.0,0.0,8,0.5,1.29,289.459,94.88,2021
2021-01-04 15:00:00,7.9,0.0,52.0,0.0,7,0.0,0.75,289.459,57.92,2021
2021-01-04 16:00:00,8.3,0.0,51.0,0.0,5,0.4,0.64,289.459,25.28,2021
2021-01-04 17:00:00,7.8,0.0,53.0,0.0,7,0.3,0.33,289.459,4.76,2021
2021-01-04 18:00:00,7.8,0.0,54.0,0.0,8,0.0,0.0,289.459,5.44,2021
2021-01-04 19:00:00,7.8,0.0,52.0,0.0,10,0.0,0.0,289.459,3.82,2021
2021-01-04 20:00:00,7.5,0.0,53.0,0.0,9,0.0,0.0,289.459,1.21,2021
2021-01-04 21:00:00,7.0,0.0,55.0,0.0,9,0.0,0.0,289.459,0.86,2021
2021-01-04 22:00:00,6.8,0.0,58.0,0.0,10,0.0,0.0,289.459,0.14,2021
2021-01-04 23:00:00,6.6,0.0,58.0,0.0,10,0.0,0.0,289.459,0.06,2021
2021-01-05 00:00:00,6.5,0.0,62.0,0.0,9,0.0,0.0,289.459,0.05,2021
2021-01-05 01:00:00,6.5,0.0,64.0,0.0,10,0.0,0.0,289.459,0.01,2021
2021-01-05 02:00:00,6.7,0.0,63.0,0.0,10,0.0,0.0,289.459,0.0,2021
2021-01-05 03:00:00,6.8,0.0,58.0,0.0,9,0.0,0.0,289.459,0.0,2021
2021-01-05 04:00:00,7.3,0.0,58.0,0.0,6,0.0,0.0,289.459,0.02,2021
2021-01-05 05:00:00,8.9,0.0,58.0,0.0,8,0.0,0.0,289.459,0.05,2021
2021-01-05 06:00:00,8.8,0.0,71.0,0.0,10,0.0,0.0,289.459,0.04,2021
2021-01-05 07:00:00,8.7,0.0,67.0,0.0,10,0.0,0.0,289.459,0.25,2021
2021-01-05 08:00:00,8.0,0.0,73.0,0.0,10,0.0,0.0,289.459,3.51,2021
2021-01-05 09:00:00,7.8,0.0,72.0,0.0,10,0.0,0.01,289.459,11.07,2021
2021-01-05 10:00:00,7.2,0.0,62.0,0.0,10,0.0,0.08,289.459,43.5,2021
2021-01-05 11:00:00,6.8,0.0,66.0,0.0,10,0.0,0.31,289.459,40.16,2021
2021-01-05 12:00:00,6.3,0.0,67.0,0.0,10,0.0,0.51,289.459,48.45,2021
2021-01-05 13:00:00,6.3,0.0,60.0,0.0,10,0.0,0.55,289.459,49.64,2021
2021-01-05 14:00:00,6.1,0.0,59.0,0.0,10,0.0,0.45,289.459,50.22,2021
2021-01-05 15:00:00,5.4,0.0,64.0,0.0,10,0.0,0.4,289.459,39.88,2021
2021-01-05 16:00:00,4.8,0.0,64.0,0.0,10,0.0,0.28,289.459,26.25,2021
2021-01-05 17:00:00,4.2,0.0,66.0,0.0,10,0.0,0.17,289.459,2.93,2021
2021-01-05 18:00:00,3.8,0.0,65.0,0.0,8,0.0,0.01,289.459,4.68,2021
2021-01-05 19:00:00,3.2,0.0,61.0,0.0,10,0.0,0.0,289.459,3.17,2021
2021-01-05 20:00:00,2.7,0.0,64.0,0.0,10,0.0,0.0,289.459,0.51,2021
2021-01-05 21:00:00,2.7,0.0,63.0,0.0,10,0.0,0.0,289.459,0.03,2021
2021-01-05 22:00:00,2.8,0.0,60.0,0.0,10,0.0,0.0,289.459,0.04,2021
2021-01-05 23:00:00,2.9,0.0,63.0,0.0,10,0.0,0.0,289.459,0.0,2021
2021-01-06 00:00:00,2.8,0.0,68.0,0.0,9,0.0,0.0,289.459,0.0,2021
2021-01-06 01:00:00,2.7,0.0,67.0,0.0,9,0.0,0.0,289.459,0.0,2021
2021-01-06 02:00:00,2.8,0.0,68.0,0.0,9,0.0,0.0,289.459,0.0,2021
2021-01-06 03:00:00,2.8,0.0,71.0,0.0,9,0.0,0.0,289.459,0.0,2021
2021-01-06 04:00:00,3.0,0.0,71.0,0.0,9,0.0,0.0,289.459,0.02,2021
2021-01-06 05:00:00,2.4,0.0,81.0,0.0,9,0.0,0.0,289.459,0.0,2021
2021-01-06 06:00:00,3.1,0.1,77.0,0.0,9,0.0,0.0,289.459,0.0,2021
2021-01-06 07:00:00,3.0,0.0,69.0,0.0,9,0.0,0.0,289.459,0.12,2021
2021-01-06 08:00:00,3.4,0.0,60.0,0.0,8,0.0,0.0,289.459,3.87,2021
2021-01-06 09:00:00,3.8,0.0,56.0,0.0,9,0.0,0.05,289.459,20.88,2021
2021-01-06 10:00:00,3.9,0.0,58.0,0.0,8,0.0,0.36,289.459,25.96,2021
2021-01-06 11:00:00,4.0,0.0,59.0,0.0,8,0.0,0.39,289.459,48.74,2021
